Date,Close Price,Positive,Neutral,Negative
2018-08-02,7567.149902,0,295,0
2018-08-03,7434.390137,80,991,2
2018-08-04,7032.850098,119,7,48
2018-08-05,7068.47998,7,182,0
2018-08-06,6951.799805,403,553,119
2018-08-07,6753.120117,102,394,33
2018-08-08,6305.799805,87,0,5
2018-08-09,6568.22998,152,0,69
2018-08-10,6184.709961,66,0,26
2018-08-11,6295.72998,90,23,11
2018-08-12,6322.689941,2,234,2046
2018-08-13,6297.569824,89,77,191
2018-08-14,6199.709961,549,50,301
2018-08-15,6308.52002,358,285,15
2018-08-16,6334.72998,32,282,0
2018-08-17,6580.629883,162,103,23
2018-08-18,6423.759766,150,0,53
2018-08-20,6308.529785,414,252,353
2018-08-21,6488.759766,36,169,115
2018-08-22,6376.709961,31,323,23
2018-08-23,6534.879883,737,210,348
2018-08-24,6719.959961,0,0,39
2018-08-25,6763.189941,0,234,129
2018-08-26,6707.259766,0,3,0
2018-08-27,6884.640137,117,216,60
2018-08-28,7096.279785,181,115,58
2018-08-29,7047.160156,55,167,0
2018-08-30,6978.22998,775,2,0
2018-08-31,7037.580078,6,121,0
2018-09-01,7193.25,40,38,96
2018-09-02,7272.720215,565,34,62
2018-09-03,7260.060059,54,108,42
2018-09-04,7361.660156,79,189,103
2018-09-05,6792.830078,225,257,188
2018-09-06,6529.169922,132,114,122
2018-09-07,6467.069824,1,90,103
2018-09-08,6225.97998,0,70,0
2018-09-10,6329.700195,0,574,41
2018-09-11,6321.200195,169,776,127
2018-09-12,6351.799805,592,144,412
2018-09-13,6517.310059,441,64,249
2018-09-14,6512.709961,94,22,89
2018-09-16,6517.180176,0,11,0
2018-09-17,6281.200195,0,129,0
2018-09-18,6371.299805,98,97,0
2018-09-19,6398.540039,155,71,67
2018-09-20,6519.669922,373,85,0
2018-09-21,6734.950195,25,123,78
2018-09-22,6721.97998,175,0,0
2018-09-24,6595.410156,23,109,8
2018-09-25,6446.470215,42,189,0
2018-09-26,6495.0,160,10,0
2018-09-27,6676.75,141,121,138
2018-09-28,6644.129883,252,148,0
2018-10-01,6589.620117,98,57,0
2018-10-02,6556.100098,45,0,27
2018-10-03,6502.589844,42,44,19
2018-10-04,6576.689941,1940,111,0
2018-10-05,6622.47998,454,222,96
2018-10-06,6588.310059,0,0,71
2018-10-07,6602.950195,0,42,13
2018-10-08,6652.22998,157,0,197
2018-10-09,6642.640137,123,176,0
2018-10-10,6585.529785,252,216,0
2018-10-11,6256.240234,913,153,128
2018-10-12,6274.580078,414,160,15
2018-10-13,6285.990234,29,138,0
2018-10-15,6596.540039,1067,418,0
2018-10-16,6596.109863,284,160,47
2018-10-17,6544.430176,119,20,0
2018-10-18,6476.709961,285,688,0
2018-10-19,6465.410156,360,5,39
2018-10-20,6489.189941,0,43,46
2018-10-21,6482.350098,122,0,0
2018-10-22,6487.160156,38,255,0
2018-10-23,6475.740234,1,163,203
2018-10-24,6495.839844,61,17,85
2018-10-25,6476.290039,1117,73,16
2018-10-26,6474.75,0,70,29
2018-10-27,6480.379883,5,0,0
2018-10-28,6486.390137,0,104,0
2018-10-29,6332.629883,160,0,64
2018-10-30,6334.27002,500,98,116
2018-10-31,6317.609863,224,195,63
2018-11-01,6377.779785,295,121,178
2018-11-02,6388.439941,0,108,0
2018-11-03,6361.259766,1,2,0
2018-11-04,6376.129883,0,85,0
2018-11-05,6419.660156,39,137,2
2018-11-06,6461.009766,388,49,95
2018-11-08,6453.720215,84,117,0
2018-11-09,6385.620117,54,0,14
2018-11-13,6359.490234,50,132,0
2018-11-14,5738.350098,0,399,0
2018-11-15,5648.029785,100,71,0
2018-11-16,5575.549805,20,183,0
2018-11-17,5554.330078,7,168,358
2018-11-19,4871.490234,346,436,25
2018-11-20,4451.870117,703,309,0
2018-11-21,4602.169922,5,204,87
2018-11-22,4365.939941,0,61,0
2018-11-23,4347.109863,135,202,72
2018-11-24,3880.76001,158,4,74
2018-11-25,4009.969971,48,211,1278
2018-11-26,3779.129883,167,165,1
2018-11-27,3820.719971,747,820,1075
2018-11-28,4257.419922,23,789,134
2018-11-29,4278.84668,43,12,69
2018-11-30,4017.268555,0,304,71
2018-12-01,4214.671875,212,0,0
2018-12-03,3894.130859,125,0,167
2018-12-04,3956.893799,10,379,0
2018-12-05,3753.994873,0,125,0
2018-12-06,3521.101807,81,70,102
2018-12-07,3419.937256,294,69,112
2018-12-10,3502.656006,0,0,22
2018-12-11,3424.588135,521,582,0
2018-12-12,3486.950195,31,313,0
2018-12-13,3313.677246,248,192,364
2018-12-14,3242.484863,192,114,0
2018-12-15,3236.761719,65,0,1
2018-12-16,3252.839111,19,0,0
2018-12-17,3545.864746,480,122,19
2018-12-18,3696.059082,196,386,0
2018-12-19,3745.950684,96,876,90
2018-12-20,4134.441406,274,174,41
2018-12-21,3896.543701,18,498,0
2018-12-24,4078.599121,5,76,0
2018-12-25,3815.490723,23,0,1
2018-12-26,3857.297607,0,0,2
2018-12-27,3654.833496,14,0,0
2018-12-28,3923.918701,3,0,99
2018-12-29,3820.408691,1,0,1
2018-12-31,3742.700439,4,0,0
2019-01-01,3843.52002,1,0,0
2019-01-02,3943.409424,445,2090,30
2019-01-03,3836.741211,4,55,431
2019-01-04,3857.717529,3,1,4
2019-01-06,4076.632568,40,1,0
2019-01-07,4025.248291,823,299,0
2019-01-08,4030.8479,80,54,0
2019-01-09,4035.296387,31,398,1
2019-01-10,3678.924561,103,170,0
2019-01-11,3687.365479,0,0,24
2019-01-13,3552.953125,1,0,0
2019-01-14,3706.052246,56,51,0
2019-01-15,3630.675293,43,0,0
2019-01-16,3655.006836,1,0,148
2019-01-17,3678.563965,378,0,0
2019-01-18,3657.839355,0,0,30
